ram,ssd,weight,screen,price
64,2048,2.6,13.4,3335
8,64,1.6,14.0,885
64,2048,3.0,10.1,3060
64,64,2.3,10.1,1955
12,2048,2.6,12.5,2260
32,512,2.0,12.1,1780
8,64,2.0,16.0,915
12,512,1.8,12.5,960
64,2048,2.9,14.0,3310
8,1024,1.8,10.1,1465
8,128,1.7,13.3,765
64,256,2.5,12.5,2130
8,64,2.3,14.0,695
12,128,2.1,16.0,1070
64,2048,2.4,11.6,3170
4,256,1.8,14.0,840
16,2048,2.0,11.6,2170
64,64,2.3,12.5,1865
32,1024,2.1,13.3,2090
4,512,1.9,12.1,865
4,256,1.7,13.3,830
4,64,2.0,12.5,635
32,2048,3.0,15.6,2485
32,2048,2.7,13.3,2865
16,256,1.8,16.0,1280
32,1024,2.2,14.0,2105
4,1024,1.8,14.0,1385
32,128,1.9,10.1,1485
32,64,2.0,13.3,1540
8,1024,2.2,14.0,1330
4,2048,2.1,13.4,1995
64,1024,2.8,17.3,3190
8,256,1.8,12.1,900
16,64,1.7,11.6,830
64,256,2.6,12.1,1940
16,128,1.7,10.1,730
4,256,1.8,15.6,910
16,128,1.7,12.5,940
64,2048,2.8,13.4,2820
8,64,2.1,16.0,1125
64,512,2.4,11.6,2370
16,512,1.7,13.3,1075
16,64,2.1,14.0,885
12,1024,2.3,11.6,1405
12,64,1.8,15.6,860
4,256,2.1,17.3,1215
64,64,2.2,13.3,1825
64,256,2.5,14.0,2065
64,1024,2.4,12.5,2760
12,128,2.3,15.6,840
8,512,1.9,15.6,1005
32,1024,2.7,15.6,2150
12,1024,2.3,16.0,1955
8,128,2.3,17.3,1160
4,512,1.7,13.3,955
12,64,1.7,14.0,770
12,512,2.4,14.0,1040
16,256,2.1,13.4,945
64,64,3.0,17.3,2460
32,2048,2.1,12.5,2890
8,128,1.9,13.3,815
64,128,2.5,13.4,1810
12,64,2.1,12.1,740
32,512,2.5,17.3,1970
32,512,2.3,13.4,1535
12,256,2.0,11.6,950
8,128,2.2,13.4,825
12,2048,2.4,16.0,2090
64,2048,2.9,12.5,3350
8,256,1.7,12.5,840
64,1024,2.8,13.4,2855
12,64,2.1,17.3,985
32,1024,2.4,17.3,2210
4,2048,2.2,15.6,2145
8,64,2.0,13.4,805
32,128,2.0,13.4,1465
8,1024,1.9,16.0,1850
64,2048,2.6,10.1,2830
16,128,2.2,12.1,875
12,256,2.1,13.3,940
8,64,1.6,12.1,715
16,1024,2.4,13.4,1705
12,128,1.7,14.0,985
4,2048,2.3,15.6,1900
4,256,1.3,10.1,750
64,64,2.3,10.1,1750
4,64,2.0,14.0,775
32,2048,3.0,17.3,2650
16,256,2.2,11.6,1010
32,64,2.3,11.6,1525
32,1024,2.0,13.3,2095
8,128,1.6,10.1,765
32,2048,2.4,14.0,2880
16,128,1.4,10.1,895
12,512,2.2,12.5,1030
4,64,1.4,12.1,675
32,2048,3.0,16.0,2595
16,128,2.2,13.4,955
64,64,2.4,15.6,1830
8,2048,2.8,17.3,2400
12,64,2.1,12.1,790
12,512,2.1,13.4,1010
16,256,2.2,15.6,1055
16,256,2.3,15.6,1035
32,1024,2.3,14.0,2135
32,64,2.3,14.0,1545
12,128,1.6,14.0,965
32,2048,2.5,13.3,2640
32,2048,2.1,10.1,2440
8,2048,2.1,13.3,1845
4,512,1.8,13.3,875
64,128,2.1,13.4,2205
32,128,1.8,13.4,1605
12,64,2.1,16.0,1050
32,512,2.6,15.6,1880
12,1024,2.0,13.3,1710
32,256,2.0,11.6,1330
64,2048,3.0,16.0,3205
4,512,2.1,12.1,930
12,256,2.4,16.0,1250
8,64,2.3,15.6,810
32,1024,2.2,12.1,1980
64,128,2.8,13.4,2175
32,1024,1.9,11.6,2010
8,1024,2.4,15.6,1715
64,128,2.0,11.6,2145
16,64,2.4,15.6,1010
4,64,1.6,10.1,585
8,256,2.0,12.1,760
16,2048,2.6,16.0,2090
64,1024,2.3,11.6,2740
16,128,1.6,13.3,880
64,256,2.6,16.0,2405
8,64,1.9,11.6,795
16,128,1.9,13.3,1005
32,1024,2.2,13.4,2155
8,64,1.6,14.0,760
32,64,2.0,13.4,1485
8,256,1.7,10.1,850
4,256,2.2,16.0,1015
32,64,2.0,15.6,1635
12,512,2.0,12.1,1075
12,64,2.0,16.0,975
8,1024,2.1,14.0,1600
16,64,2.0,16.0,1220
16,2048,2.0,12.1,2065
32,128,2.0,15.6,1640
32,512,1.8,14.0,1500
32,2048,2.1,12.1,2940
32,2048,2.8,13.4,2930
8,64,1.8,13.3,680
32,512,2.0,15.6,1760
16,128,1.7,10.1,875
4,512,2.2,13.3,845
16,1024,1.7,12.1,1700
4,128,1.7,12.5,800
32,64,1.6,10.1,1190
32,128,2.5,12.5,1585
12,128,2.1,13.4,805
4,128,1.7,12.1,785
8,2048,2.8,16.0,2325
8,64,1.9,17.3,950
12,2048,2.6,14.0,1860
4,256,2.1,13.3,755
4,1024,1.6,11.6,1225
4,512,1.9,15.6,1010
8,1024,2.2,11.6,1525
12,1024,2.2,13.4,1420
64,256,2.6,15.6,2085
64,1024,2.3,10.1,2580
16,512,2.1,13.4,1045
32,1024,1.9,12.1,2220
4,256,1.9,14.0,785
32,256,2.0,11.6,1375
32,512,2.3,15.6,1810
16,512,2.1,10.1,900
4,64,1.8,16.0,845
16,128,1.8,11.6,845
16,512,2.2,10.1,950
16,64,1.9,12.5,905
64,1024,2.8,15.6,3035
12,256,2.0,13.4,875
8,512,1.9,13.3,990
32,64,2.7,17.3,1710
32,512,1.8,11.6,1515
4,128,1.3,10.1,570
8,256,2.2,11.6,820
4,256,2.0,13.4,845
64,256,2.1,14.0,2295
8,512,1.6,13.4,1050
8,128,2.1,13.3,890
8,64,1.8,13.4,735
8,64,1.7,12.5,715
8,256,2.0,13.3,965
12,512,2.4,15.6,1180
4,64,2.3,16.0,855
64,512,2.4,17.3,2660
8,1024,1.8,13.3,1505
64,2048,2.8,13.4,2905
16,128,1.6,12.5,865
4,2048,2.3,13.3,1885
8,128,1.9,13.4,765
32,512,2.2,14.0,1600
32,64,2.4,12.1,1365
32,1024,2.6,16.0,2505
4,128,1.4,11.6,680
64,256,2.7,13.3,1995
32,1024,2.2,16.0,2560
8,2048,2.4,15.6,1910
8,128,1.7,11.6,780
64,512,2.1,12.1,2110
32,64,1.9,14.0,1370
12,2048,2.3,15.6,2165
64,256,2.3,13.3,2270
4,256,1.8,11.6,795
64,1024,2.8,17.3,2610
16,256,2.3,17.3,1185
32,256,2.1,13.4,1410
8,64,1.6,13.3,700
16,256,2.0,17.3,1135
4,1024,2.1,17.3,1635
12,128,1.7,13.4,935
64,256,2.2,13.3,1970
16,256,1.9,13.4,1050
8,2048,2.2,13.3,1875
8,512,2.1,11.6,860
32,512,2.2,17.3,1970
8,1024,1.6,12.5,1380
8,1024,2.2,15.6,1650
64,256,2.5,15.6,2075
32,128,2.0,10.1,1410
64,1024,2.5,11.6,2285
4,256,1.5,13.3,865
64,128,2.1,12.5,2155
8,1024,2.1,15.6,1680
32,256,2.2,13.4,1360
32,2048,2.5,10.1,2365
8,64,1.7,10.1,700
32,128,2.3,12.1,1270
32,2048,2.4,16.0,3235
64,256,2.8,12.1,1855
32,1024,2.8,17.3,2195
64,512,2.7,11.6,1895
12,1024,2.1,15.6,1445
4,1024,2.0,12.5,1460
64,128,2.9,17.3,2255
12,1024,2.4,15.6,1425
4,512,1.8,10.1,930
32,512,2.4,14.0,1585
16,256,1.9,15.6,1165
8,1024,1.9,12.1,1500
64,512,2.1,10.1,1905
16,128,2.2,15.6,1085
16,1024,2.1,14.0,1730
64,256,2.7,11.6,1915
8,64,1.5,13.3,690
8,1024,2.3,14.0,1645
32,512,1.9,12.1,1815
4,64,1.7,11.6,655
64,256,2.2,12.5,2000
32,1024,2.8,15.6,2365
32,128,2.0,10.1,1220
8,64,1.8,15.6,865
4,512,2.4,17.3,1295
12,2048,2.0,14.0,2275
12,64,1.9,15.6,790
64,1024,2.9,13.3,2775
16,512,1.9,13.4,1105
16,512,2.5,15.6,1090
16,64,1.8,13.3,790
4,512,2.2,15.6,940
32,512,1.9,10.1,1525
32,512,2.3,16.0,2110
4,512,1.8,13.4,855
8,128,2.2,17.3,970
32,64,2.4,14.0,1390
64,64,2.1,11.6,2025
8,64,2.0,10.1,735
12,64,2.1,11.6,735
16,2048,2.0,12.5,1885
8,512,2.4,17.3,1335
8,128,2.2,17.3,1185
64,128,2.9,17.3,2300
8,512,2.0,12.1,935
12,128,1.7,13.3,860
16,256,1.7,13.3,945
4,2048,1.9,12.5,1925
64,512,2.5,13.4,2255
64,256,2.3,15.6,1925
4,64,2.3,16.0,975
4,128,2.1,16.0,920
16,64,1.6,11.6,815
32,512,1.9,13.3,1730
12,1024,2.2,16.0,1880
32,256,2.0,15.6,1540
16,256,1.8,12.5,935
8,128,1.6,10.1,670
64,64,2.6,17.3,2390
8,2048,2.2,16.0,2095
64,1024,2.8,15.6,2630
16,1024,2.3,12.5,1440
32,64,1.8,15.6,1430
8,512,1.7,11.6,1050
4,128,1.5,13.3,820
4,512,2.1,12.1,910
12,512,2.0,16.0,1405
16,1024,2.1,15.6,1665
32,1024,2.3,13.3,2365
32,64,1.8,11.6,1500
64,2048,2.5,13.4,2880
32,256,2.1,12.1,1635
32,128,2.4,13.4,1340
4,512,1.9,13.4,825
32,2048,2.6,17.3,2810
8,256,1.9,12.5,860
16,512,2.3,14.0,1195
16,1024,1.7,12.5,1705
12,1024,2.4,15.6,1415
64,2048,2.7,10.1,2870
32,512,2.6,16.0,2130
64,512,2.3,13.4,1980
32,64,1.8,13.4,1475
4,128,1.6,11.6,655
16,64,2.2,15.6,950
16,128,2.2,17.3,1055
64,128,2.2,12.5,2025
16,128,1.7,12.1,875
8,256,1.5,12.5,935
4,2048,2.1,16.0,2400
64,128,2.2,11.6,2025
32,64,2.3,13.3,1415
32,2048,2.9,15.6,2485
12,128,1.6,12.5,765
8,64,1.9,14.0,745
12,1024,1.7,14.0,1495
32,128,2.2,13.4,1595
16,2048,2.3,12.1,1835
8,512,2.1,12.5,1090
64,2048,2.6,11.6,3320
8,64,2.1,11.6,720
32,256,2.1,13.3,1470
8,128,1.4,11.6,770
12,128,1.8,16.0,1130
16,2048,2.3,12.1,2175
12,512,1.9,15.6,1150
4,512,1.9,15.6,1020
16,2048,1.9,12.1,1965
64,128,2.4,14.0,1970
8,512,2.2,12.1,885
32,1024,2.0,12.5,1990
8,256,2.3,16.0,980
4,64,2.3,15.6,695
64,128,2.5,17.3,2515
8,64,2.0,12.5,735
64,128,2.3,15.6,1905
64,1024,2.6,15.6,2410
12,512,2.0,16.0,1395
12,2048,2.5,14.0,2190
8,64,1.9,16.0,970
8,1024,2.4,14.0,1420
4,256,1.6,13.3,775
64,256,2.8,14.0,2025
32,512,2.1,13.4,1695
8,256,2.0,14.0,790
64,128,2.6,12.1,1865
12,2048,2.7,15.6,1930
4,512,2.1,15.6,1100
32,512,2.5,12.5,1635
64,256,2.4,15.6,1850
16,128,1.7,13.4,1030
8,1024,1.9,15.6,1615
16,64,1.8,17.3,1225
32,512,2.7,16.0,2070
8,512,1.9,15.6,1110
4,512,1.6,12.1,940
16,64,1.4,10.1,860
16,256,2.2,13.4,925
4,256,2.0,17.3,1200
64,512,2.5,15.6,2500
64,2048,2.8,14.0,3430
8,128,1.6,12.5,775
4,2048,2.5,13.4,1880
12,512,1.9,11.6,1080
8,128,1.9,17.3,1090
16,64,1.5,10.1,840
12,1024,2.2,17.3,1900
64,512,2.1,10.1,2160
8,1024,2.2,12.5,1355
16,2048,2.4,15.6,2180
12,256,2.0,13.3,975
4,512,2.2,13.4,930
12,512,2.1,12.1,915
64,2048,2.9,11.6,3425
32,256,2.3,17.3,1710
8,128,1.9,11.6,705
32,64,1.9,13.3,1415
8,256,2.1,11.6,790
64,512,2.4,17.3,2430
12,256,2.3,12.1,940
8,256,1.8,17.3,1075
4,128,2.1,16.0,945
16,64,2.3,13.3,795
64,1024,2.3,12.5,2360
8,128,1.6,14.0,880
12,128,1.7,11.6,900
32,128,2.0,16.0,1775
8,512,1.9,15.6,1190
64,256,2.3,12.1,1880
12,64,2.1,10.1,750
8,128,2.3,13.3,845
64,64,2.5,16.0,2070
4,1024,1.9,13.4,1515
12,256,2.0,10.1,795
8,256,1.8,13.3,815
4,64,1.7,14.0,730
32,256,2.1,13.4,1420
16,256,1.9,14.0,1105
32,64,1.7,10.1,1380
12,128,1.4,10.1,735
4,256,1.8,13.4,820
16,1024,2.3,17.3,2050
32,512,2.4,12.5,1505
64,2048,2.9,12.1,2995
32,1024,2.1,17.3,2200
8,512,2.1,11.6,990
4,128,1.9,12.1,625
12,64,1.8,15.6,795
12,1024,2.1,14.0,1395
16,512,2.2,17.3,1310
64,128,2.3,12.5,2170
32,128,2.2,11.6,1340
32,2048,2.2,13.3,2670
4,128,1.6,13.4,705
32,1024,2.7,16.0,2445
32,128,2.3,12.1,1550
64,64,2.5,13.3,1930
8,512,2.2,11.6,990
12,2048,2.3,16.0,2415
16,128,1.6,12.5,855
8,512,1.9,14.0,930
32,128,1.7,10.1,1450
16,64,1.7,13.3,865
8,1024,1.8,14.0,1605
12,512,1.8,12.1,965
32,64,2.5,15.6,1550
8,128,2.4,15.6,960
32,128,2.3,13.4,1405
8,128,2.0,16.0,1165
16,2048,1.9,12.1,2115
4,2048,2.4,14.0,1965
8,256,2.0,10.1,795
64,1024,3.0,17.3,2575
64,128,2.0,10.1,1700
4,64,2.0,14.0,795
16,1024,2.3,15.6,1790
4,64,1.7,17.3,1085
32,512,2.4,14.0,1830
64,512,2.5,12.1,1995
16,512,2.2,13.4,1115
8,1024,2.5,17.3,1830
32,512,2.4,16.0,1725
8,2048,2.0,12.1,1960
12,2048,2.9,17.3,2045
32,512,1.9,11.6,1815
8,256,1.6,13.4,835
16,512,2.0,13.4,1040
16,1024,1.8,14.0,1660
64,1024,2.9,12.1,2740
12,2048,2.4,13.4,1910
64,256,2.2,12.1,2000
32,128,2.0,13.3,1305
64,512,2.8,14.0,2415
64,256,2.8,15.6,2225
64,1024,2.2,11.6,2460
32,2048,2.9,13.3,2455
8,64,1.8,14.0,875
4,512,1.9,15.6,915
32,64,2.4,14.0,1485
64,64,2.7,12.5,1745
4,64,2.1,12.5,635
16,1024,2.2,12.5,1385
32,64,2.3,13.4,1555
16,64,1.9,11.6,740
16,512,2.4,13.3,1045
8,1024,2.2,17.3,1685
16,128,1.9,15.6,875
32,2048,2.1,13.3,2945
64,1024,2.5,11.6,2365
12,128,2.4,16.0,1150
12,128,1.7,11.6,830
64,64,2.3,13.4,1745
8,128,1.7,12.5,760
16,64,1.8,14.0,845
12,2048,2.6,17.3,2275
4,2048,2.2,15.6,2070
4,64,2.0,12.5,700
12,128,1.6,12.1,780
16,256,2.1,14.0,895
12,64,1.4,11.6,730
16,2048,2.5,10.1,1770
4,128,1.8,13.4,685
32,128,2.4,14.0,1480
64,128,2.6,14.0,2110
16,128,2.5,16.0,1180
4,64,1.5,10.1,545
8,2048,1.9,13.4,1955
16,256,1.8,11.6,965
8,128,2.4,16.0,1150
8,2048,2.0,16.0,2405
32,64,2.0,12.5,1450
64,2048,2.7,11.6,3045
64,256,2.1,13.3,2045
64,128,2.1,13.3,1815
8,2048,1.9,10.1,1900
64,64,2.7,12.1,1670
8,512,1.9,12.1,1045
8,128,2.0,12.1,820
32,512,1.8,11.6,1795
4,1024,1.7,13.3,1545
32,256,2.2,17.3,1955
64,128,2.4,14.0,2225
64,2048,3.0,13.4,3510
16,2048,2.5,11.6,2175
64,512,2.0,10.1,2080
12,512,2.2,10.1,850
8,256,2.4,17.3,1200
32,256,2.3,12.1,1470
16,256,2.3,17.3,1160
16,2048,2.7,16.0,2400
32,128,2.3,14.0,1415
8,128,1.9,13.4,900
12,1024,1.9,12.1,1570
64,64,1.9,10.1,1855
16,2048,2.1,11.6,1855
12,128,2.0,17.3,1090
16,2048,2.1,10.1,1820
32,2048,2.6,12.5,2630
64,1024,2.8,15.6,2555
16,1024,1.8,13.4,1635
16,1024,1.8,13.4,1560
64,128,2.1,12.1,1920
64,512,2.9,17.3,2580
64,2048,2.8,17.3,3095
64,128,2.5,14.0,2110
8,1024,2.5,15.6,1710
16,128,1.6,10.1,745
4,128,1.7,17.3,1080
32,512,2.1,10.1,1590
16,128,2.1,16.0,1210
32,256,2.0,16.0,1990
16,2048,2.7,13.3,2280
64,1024,2.6,13.3,2345
64,256,2.8,14.0,1825
32,512,2.0,13.3,1620
8,2048,1.9,12.1,2075
64,64,2.3,12.1,1790
4,2048,2.1,17.3,2390
16,128,1.5,10.1,795
64,64,2.5,11.6,2000
32,64,2.5,15.6,1660
32,64,2.2,12.5,1325
12,64,2.1,12.1,785
32,512,1.9,16.0,2030
64,2048,3.0,16.0,3225
8,2048,2.4,17.3,2260
32,128,2.0,16.0,1740
4,256,1.7,16.0,1005
4,2048,2.5,13.3,1815
32,1024,2.1,11.6,2330
4,256,1.9,11.6,750
64,64,2.8,14.0,1765
4,256,1.9,16.0,980
8,256,2.0,14.0,865
64,1024,3.0,16.0,3215
12,64,1.6,10.1,755
8,128,1.9,13.4,795
64,256,2.1,14.0,1965
16,64,2.1,12.5,885
12,64,2.0,13.4,895
32,64,2.4,13.3,1540
4,1024,2.3,13.4,1535
8,2048,2.3,17.3,2110
64,2048,2.8,12.1,2860
32,2048,2.2,11.6,2670
16,256,2.0,16.0,1290
8,2048,2.6,14.0,2190
16,256,2.0,13.3,1055
64,2048,2.3,10.1,3370
64,1024,2.6,12.5,2525
32,64,2.0,15.6,1425
8,128,1.9,11.6,765
64,2048,2.6,13.4,3280
32,512,2.0,12.1,1545
16,64,2.2,11.6,905
8,128,1.8,10.1,760
12,512,2.3,13.3,975
8,256,1.8,15.6,980
16,256,2.2,17.3,1285
8,2048,2.4,16.0,2485
32,128,2.6,15.6,1440
12,512,1.6,13.3,1080
32,1024,2.4,13.3,2370
64,1024,2.4,13.4,2915
4,512,2.2,14.0,1065
8,2048,2.5,15.6,2135
32,1024,2.4,11.6,2085
16,512,1.7,12.1,1215
64,128,2.7,17.3,2375
4,1024,1.7,13.3,1575
32,64,1.8,12.1,1475
64,2048,2.6,16.0,3000
4,128,1.5,12.5,695
8,256,1.8,13.4,770
64,2048,2.7,11.6,3195
16,512,1.7,14.0,1165
64,512,2.8,12.5,2230
4,64,2.2,17.3,970
12,64,1.8,17.3,1175
16,2048,2.3,15.6,1950
32,128,2.4,12.1,1370
8,512,2.2,13.3,930
64,2048,2.7,12.5,2880
32,64,2.3,13.4,1565
12,512,2.1,11.6,965
32,128,2.2,16.0,1840
12,1024,2.5,16.0,1695
8,2048,2.3,13.4,1975
16,256,1.9,12.1,1010
12,128,1.9,16.0,1000
16,128,1.9,16.0,1255
64,128,2.7,15.6,2145
4,64,1.7,15.6,855
16,2048,2.3,13.3,2210
16,1024,2.3,15.6,1700
32,1024,2.1,12.5,2080
4,1024,1.9,11.6,1410
4,2048,2.2,13.4,2130
16,1024,2.3,16.0,1615
8,256,2.0,10.1,845
8,256,1.8,12.5,790
16,2048,2.5,16.0,2130
16,256,2.0,15.6,1165
32,512,1.9,10.1,1490
32,1024,2.7,15.6,2295
32,2048,2.5,12.1,2725
12,64,1.8,12.5,765
8,64,2.2,17.3,950
16,256,2.1,10.1,910
12,1024,2.0,13.3,1485
16,1024,2.0,10.1,1645
64,256,2.1,12.1,1810
64,512,2.4,13.4,2260
8,256,1.9,10.1,720
32,2048,2.6,15.6,2715
12,512,2.1,12.5,1095
4,512,1.6,11.6,855
16,1024,2.2,15.6,1700
64,512,2.9,12.5,2105
64,128,2.1,13.4,2155
64,64,2.4,13.3,2110
4,2048,2.5,15.6,1910
32,256,2.4,16.0,1630
32,2048,2.4,12.1,2755
8,256,2.2,17.3,1170
64,2048,3.0,16.0,3060
16,512,2.5,17.3,1280
16,64,1.6,12.1,955
12,256,2.3,14.0,1035
12,64,1.8,12.5,770
12,512,1.9,13.3,1125
64,64,2.3,13.3,1880
16,64,1.6,12.1,935
4,256,1.6,13.3,775
32,1024,2.3,12.5,2085
16,512,2.3,13.3,1035
8,64,1.9,11.6,765
16,2048,2.3,13.4,2260
12,256,2.0,17.3,1135
4,128,2.1,11.6,680
12,128,2.3,16.0,1205
12,64,1.4,11.6,770
12,256,1.9,12.1,865
16,256,1.7,12.1,995
4,2048,1.8,12.1,1745
8,2048,2.6,12.1,1880
32,1024,2.5,11.6,1875
4,1024,2.1,13.3,1315
4,256,2.2,12.1,815
4,2048,1.9,10.1,2040
12,512,2.1,14.0,1180
16,512,2.2,16.0,1290
8,128,1.5,13.3,885
8,64,1.8,15.6,935
4,2048,2.3,12.5,1985
4,128,1.7,16.0,1065
8,512,2.5,15.6,940
8,1024,2.4,16.0,1660
16,64,1.9,13.4,900
16,2048,2.5,16.0,2425
32,1024,2.6,13.3,2155
8,64,1.7,13.3,695
4,512,1.7,11.6,785
32,128,2.2,17.3,1595
32,128,2.2,16.0,1710
64,1024,2.6,12.1,2565
8,512,2.2,14.0,930
16,512,1.6,10.1,1145
16,128,1.7,13.4,975
16,2048,2.1,13.4,2260
32,64,2.3,12.1,1495
16,1024,2.0,13.3,1540
12,256,1.6,13.4,985
64,256,2.4,13.4,2260
32,128,2.1,11.6,1405
4,128,2.1,13.4,820
16,512,2.1,15.6,1055
4,512,2.0,14.0,990
32,512,2.2,12.1,1505
8,64,1.7,11.6,805
8,2048,2.0,12.5,2010
4,256,2.3,15.6,825
16,2048,2.6,13.4,2275
4,256,2.2,13.4,745
12,512,2.1,12.5,1035
8,512,2.0,11.6,1040
64,2048,3.0,13.3,3445
32,2048,2.6,16.0,2965
4,128,1.9,11.6,670
12,256,1.8,11.6,955
4,256,2.0,17.3,1100
16,64,2.0,15.6,870
8,256,1.5,13.4,825
12,256,2.2,15.6,1055
12,1024,2.2,12.5,1540
64,128,2.5,12.1,2010
32,256,2.6,14.0,1740
4,512,2.1,12.5,985
8,1024,2.3,15.6,1605
64,1024,2.7,11.6,2690
16,256,1.7,15.6,1010
32,1024,2.4,15.6,2140
64,1024,2.9,15.6,2735
12,128,2.3,14.0,810
64,64,2.5,10.1,1935
64,1024,2.8,11.6,2890
32,256,1.7,12.1,1485
16,256,2.2,15.6,1175
12,1024,1.8,10.1,1405
12,2048,2.3,13.3,1965
8,512,1.6,12.5,880
4,512,1.9,15.6,1065
64,2048,3.0,12.5,2870
12,256,2.2,16.0,1145
8,1024,2.1,11.6,1475
4,512,1.5,11.6,780
16,512,2.4,13.3,1155
12,2048,2.6,13.4,2180
12,128,1.6,10.1,675
32,256,1.7,12.5,1555
4,2048,2.3,13.4,1970
4,1024,2.4,16.0,1620
8,2048,2.3,17.3,2045
32,64,2.4,14.0,1315
32,512,2.2,16.0,1690
64,1024,2.4,13.4,2710
8,128,1.6,12.5,685
8,128,2.0,11.6,800
16,128,1.8,17.3,1310
12,64,2.4,17.3,1190
4,512,2.0,11.6,920
64,2048,2.6,14.0,2925
12,2048,2.0,10.1,1875
8,256,2.2,14.0,875
32,512,2.6,15.6,1810
16,64,1.9,13.3,985
32,1024,2.1,10.1,2275
8,128,2.1,12.5,720
4,512,1.6,10.1,740
64,64,2.5,15.6,1815
64,128,2.7,17.3,2395
12,512,2.2,13.4,1035
64,512,2.8,15.6,2040
16,256,2.0,10.1,855
8,2048,2.5,12.5,2080
8,2048,1.8,10.1,1665
16,2048,2.4,10.1,2010
64,1024,2.7,13.4,2415
4,64,2.1,12.5,750
4,64,1.5,13.3,750
32,1024,2.5,13.4,2115
12,64,1.7,13.3,855
12,256,2.1,13.3,925
12,256,2.0,12.5,845
4,512,2.0,17.3,1110
32,2048,2.7,11.6,2915
12,2048,1.8,10.1,2135
8,128,1.6,15.6,940
64,64,2.8,14.0,1760
16,512,1.7,13.4,1140
16,2048,1.9,10.1,1805
16,512,1.9,15.6,1140
12,256,1.7,15.6,985
32,2048,2.4,12.1,2580
16,64,1.5,11.6,930
64,256,2.8,13.4,2245
32,64,2.0,11.6,1340
8,512,1.8,12.1,1030
64,256,2.6,16.0,2275
12,256,2.4,17.3,1150
16,512,2.3,11.6,1110
64,512,2.6,17.3,2655
64,1024,3.0,16.0,2610
16,64,1.8,15.6,875
16,256,1.7,11.6,825
4,128,1.8,13.4,750
12,64,2.3,14.0,955
16,64,2.1,13.3,915
4,512,2.5,17.3,1120
12,256,2.3,13.4,950
64,64,2.3,11.6,1870
32,128,1.7,10.1,1215
32,64,2.2,16.0,1670
32,1024,2.1,14.0,2230
16,512,1.9,12.5,1195
16,64,2.0,17.3,1305
16,512,1.7,12.1,1030
32,64,2.3,11.6,1405
12,128,2.1,13.3,785
4,2048,2.2,13.3,2060
64,64,2.9,16.0,2370
32,64,1.8,12.5,1320
16,128,2.0,11.6,770
32,256,2.0,17.3,1860
4,512,1.7,16.0,1240
4,64,2.2,13.3,770
16,512,2.2,11.6,1025
64,512,2.3,13.3,1930
8,128,1.9,15.6,900
64,64,2.5,13.4,1765
64,1024,2.7,10.1,2240
12,64,2.2,11.6,720
12,64,2.0,17.3,1135
64,64,2.4,17.3,1985
16,256,1.9,16.0,1280
16,1024,1.8,12.1,1385
12,64,1.6,12.5,895
4,2048,2.4,13.3,1940
4,64,1.9,12.1,670
4,64,2.2,15.6,740
8,2048,2.5,15.6,2085
16,256,2.1,12.1,1070
8,512,1.8,10.1,955
12,64,2.1,14.0,785
4,128,1.8,11.6,665
8,64,2.1,13.3,845
4,512,1.5,13.3,990
4,512,2.0,13.3,955
12,64,2.2,13.4,740
8,256,1.6,12.1,855
32,1024,2.1,12.5,1865
16,1024,2.0,13.3,1605
4,256,1.4,12.1,845
64,64,2.3,16.0,2210
8,512,2.0,13.3,1045
64,2048,2.5,14.0,3305
8,256,2.1,16.0,1235
8,64,1.8,12.1,660
32,256,2.1,17.3,1605
8,1024,2.3,13.4,1360
12,512,2.2,15.6,1220
12,2048,2.2,15.6,2360
16,1024,2.0,11.6,1630
32,1024,1.9,13.3,2335
4,256,1.5,13.3,865
8,256,1.8,11.6,870
12,1024,1.8,12.1,1355
8,2048,2.2,11.6,1920
64,256,2.9,16.0,2505
4,128,1.5,11.6,650
4,2048,2.6,14.0,1785
8,512,2.2,13.3,995
32,128,2.1,12.1,1310
4,128,1.8,15.6,890
32,256,1.8,13.3,1650
32,64,2.0,13.3,1445
64,64,2.6,12.5,1920
12,256,2.2,14.0,945
16,1024,2.4,16.0,1670
8,64,2.1,13.3,780
32,1024,2.5,12.1,2110
32,512,2.4,13.4,1785
8,64,2.0,10.1,690
8,1024,2.0,16.0,1675
16,64,1.8,14.0,915
8,512,2.4,17.3,1270
16,512,1.7,13.4,1205
4,512,2.1,11.6,890
8,256,1.5,12.1,780
12,128,1.8,12.5,795
64,128,2.2,12.5,2175
4,256,2.3,16.0,1130
64,2048,2.4,12.1,3395
16,512,2.2,12.5,1170
16,128,2.3,13.3,850
32,128,1.8,12.1,1300
12,256,2.0,16.0,1080
16,64,2.3,15.6,960
4,2048,2.2,12.5,1920
32,64,2.0,13.3,1395
64,128,2.1,11.6,1705
4,64,1.6,17.3,910
8,64,1.8,17.3,1015
12,128,1.4,11.6,740
4,256,1.7,12.5,805
16,2048,2.6,12.1,2125
32,64,1.9,14.0,1505
64,256,2.1,10.1,2055
8,2048,2.4,11.6,2000
32,512,2.2,11.6,1600
16,1024,1.7,11.6,1685
32,512,1.7,12.1,1515
12,128,2.1,16.0,1075
16,512,1.7,14.0,1220
32,1024,2.4,12.1,2060
8,1024,1.7,12.5,1355
4,256,1.8,14.0,825
4,256,1.7,17.3,1205
12,128,2.1,14.0,905
4,128,1.7,12.1,740
64,256,2.5,17.3,2120
16,2048,2.1,10.1,2230
64,1024,2.5,12.5,2770
16,256,1.8,12.5,875
